x_hat_0,x_hat_1,x_hat_2,x_hat_3,x_hat_4,x_hat_5
-0.247751,-0.341426,0.215201,-0.958979,-1.03101,-0.292936
-0.224685,-0.323812,0.122312,-0.883425,-0.914267,-0.696989
-0.200204,-0.29952,0.0299895,-0.757006,-0.725082,-0.936686
-0.173415,-0.266177,-0.057749,-0.647184,-0.496674,-1.22783
-0.147792,-0.2288,-0.139312,-0.598531,-0.3792,-1.3919
-0.122595,-0.184561,-0.207546,-0.476893,-0.0455439,-1.4454
-0.0947355,-0.122956,-0.258731,-0.347635,0.405251,-1.41408
-0.0661159,-0.0476402,-0.291294,-0.258619,0.763035,-1.304
-0.0385784,0.0340673,-0.305101,-0.173887,1.11283,-1.13693
-0.0121161,0.119433,-0.305528,-0.0923674,1.44188,-1.03942
0.0118929,0.199145,-0.300222,-0.0526002,1.56537,-0.984639
0.0350265,0.278616,-0.291779,0.0542632,2.00091,-0.916775
0.0535342,0.346221,-0.281267,-0.0137989,1.80773,-0.868668
0.0662068,0.40222,-0.270552,0.0274774,2.16615,-0.836673
0.0753867,0.461629,-0.259999,-0.0185197,2.29744,-0.797058
0.0750247,0.502308,-0.248102,-0.165928,2.08018,-0.72535
0.062923,0.531726,-0.233935,-0.339178,2.28093,-0.651168
0.0383889,0.560763,-0.218441,-0.588655,2.27861,-0.58885
0.00187162,0.570837,-0.202584,-0.837943,1.97313,-0.531398
-0.0470488,0.577566,-0.186408,-1.18382,2.25946,-0.467719
-0.103638,0.57754,-0.169723,-1.39284,1.83784,-0.402815
-0.169073,0.571985,-0.154248,-1.82501,2.10946,-0.382137
-0.245912,0.576264,-0.142234,-2.16614,2.06489,-0.38677
-0.318771,0.563326,-0.133278,-2.26236,1.67333,-0.379768
-0.390146,0.548636,-0.124505,-2.64286,1.92564,-0.328162
-0.463885,0.545756,-0.115853,-2.83288,1.88906,-0.320819
-0.520867,0.52729,-0.109613,-2.71199,1.48292,-0.332108
-0.570792,0.509471,-0.106438,-3.046,1.77555,-0.359621
-0.622658,0.500179,-0.103188,-3.11882,1.58753,-0.307517
-0.651755,0.465955,-0.0979502,-2.79707,1.03409,-0.282721
-0.671301,0.424083,-0.0926109,-3.06647,1.13747,-0.267596
-0.68105,0.373308,-0.0870502,-2.67033,0.495776,-0.238839
-0.685108,0.312954,-0.0804617,-2.98143,0.517656,-0.200291
-0.693908,0.255303,-0.0739732,-2.82759,0.140766,-0.194803
-0.673874,0.175472,-0.0682985,-2.26261,-0.492341,-0.176304
-0.641338,0.0900903,-0.0635042,-2.34671,-0.57608,-0.178393
-0.601975,0.00461032,-0.0583134,-1.84676,-1.10081,-0.131541
-0.552969,-0.082528,-0.0525601,-1.80615,-1.22752,-0.126325
-0.499802,-0.165043,-0.0473019,-1.3863,-1.59382,-0.104133
-0.419792,-0.257213,-0.0409731,-0.701582,-2.07459,-0.0600073
-0.339157,-0.350521,-0.0325437,-0.801677,-2.27863,-0.00231235
-0.266266,-0.441411,-0.0229186,-0.33929,-2.67113,0.0321998
-0.171162,-0.536078,-0.0142589,0.317405,-3.02584,0.0398217
-0.0702799,-0.628447,-0.0070491,0.492039,-3.28057,0.0543593
0.0188296,-0.713208,-0.00176528,0.714221,-3.47508,0.038792
0.115327,-0.785884,0.00129064,1.32447,-3.55456,0.0314839
0.217543,-0.849499,0.00320474,1.55386,-3.74521,0.0295367
0.314933,-0.902472,0.00365982,1.91898,-3.71758,0.00553258
0.398978,-0.949151,0.00282491,1.88326,-3.95053,-0.00218727
0.469433,-0.993624,0.00155424,2.1471,-3.98901,-0.0121983
0.539825,-1.02071,-0.000333434,2.38143,-3.79506,-0.0279209
0.603172,-1.04095,-0.00273821,2.45568,-3.99561,-0.0396031
0.65263,-1.06423,-0.0059798,2.45456,-4.02102,-0.0676574
0.692868,-1.07055,-0.00891488,2.55681,-3.70132,-0.0542981
0.730154,-1.07061,-0.010329,2.66004,-3.89623,-0.047273
0.76257,-1.07594,-0.011358,2.68942,-3.84433,-0.0538954
0.782822,-1.06512,-0.0131343,2.56046,-3.49661,-0.0748229
0.796718,-1.05232,-0.0150393,2.66089,-3.71404,-0.069986
0.811582,-1.04733,-0.0157276,2.68528,-3.61721,-0.0553706
0.818515,-1.0238,-0.0149142,2.55148,-3.17635,-0.0341834
0.819886,-1.00162,-0.0138753,2.58375,-3.48693,-0.043487
0.820495,-0.990639,-0.0154925,2.54057,-3.32235,-0.0987817
0.809901,-0.953196,-0.0190933,2.28453,-2.69202,-0.108707
0.790412,-0.905368,-0.0218573,2.22438,-2.77528,-0.101659
0.760228,-0.845463,-0.0230976,1.85649,-2.02544,-0.0870305
0.720134,-0.764568,-0.0241087,1.74167,-1.78152,-0.10425
0.676709,-0.67111,-0.0249659,1.48176,-1.11106,-0.0900355
0.626534,-0.557278,-0.0246776,1.25066,-0.566375,-0.0792935
0.569223,-0.42735,-0.0236037,0.932413,0.132753,-0.0667034
0.509023,-0.293236,-0.0212733,0.765735,0.468932,-0.0376298
0.446483,-0.159045,-0.019357,0.441868,1.0864,-0.0613894
0.384266,-0.0351172,-0.0252316,0.330753,1.14299,-0.235129
0.328687,0.0632866,-0.0462507,0.180277,1.27412,-0.513417
0.274327,0.152249,-0.0808649,-0.030563,1.5854,-0.752628
0.22342,0.230186,-0.125973,-0.111885,1.60658,-1.04336
0.178886,0.291684,-0.172041,-0.219071,1.69298,-1.09869
0.137584,0.345681,-0.201187,-0.340287,1.83966,-0.911699
0.10056,0.390651,-0.213451,-0.396222,1.83154,-0.848088
0.0680346,0.427095,-0.212591,-0.481095,1.92772,-0.64313
0.0401981,0.45514,-0.20502,-0.499949,1.86254,-0.660134
0.0179308,0.472975,-0.198111,-0.527701,1.85007,-0.607334
-0.000542525,0.486081,-0.185893,-0.555147,1.86096,-0.467291
-0.0152122,0.49324,-0.172902,-0.555714,1.78191,-0.499666
-0.025481,0.49394,-0.163196,-0.539989,1.73676,-0.464151
-0.0318774,0.490992,-0.150313,-0.523652,1.68803,-0.344717
-0.0354128,0.483102,-0.137789,-0.507852,1.58193,-0.382443
-0.0366772,0.469713,-0.126213,-0.487206,1.48305,-0.281559
-0.0354811,0.454362,-0.10478,-0.450152,1.43376,-0.0332418
-0.0317881,0.437456,-0.0698634,-0.411068,1.332,0.235876
-0.0264002,0.416763,-0.0178403,-0.378024,1.21121,0.678003
-0.0200803,0.392642,0.0461064,-0.347586,1.0923,0.928071
-0.0132462,0.368525,0.10236,-0.31925,1.04016,0.923272
-0.00615672,0.345908,0.139349,-0.292177,0.961845,0.805235
0.00100621,0.322791,0.157478,-0.266957,0.866122,0.674695
0.00808898,0.299061,0.16259,-0.243526,0.781198,0.581187
0.0153996,0.276513,0.160818,-0.210529,0.729794,0.524433
0.0229064,0.255586,0.155743,-0.186341,0.665129,0.479102
